response_id,category,question_text,response_text
kimi-k2.5:cloud|ADMET-SM-04,ADMET / Pharmacokinetic Properties,A small molecule has systemic clearance CL = 30 L/h and volume of distribution Vd = 300 L in humans. Estimate the terminal half-life and interpret what a Vd this large typically implies about tissue distribution.," **Terminal half-life:**  
Using \( t_{1/2} = \frac{0.693 \times V_d}{CL} \):

\[
t_{1/2} = \frac{0.693 \times 300\ \text{L}}{30\ \text{L/h}} \approx \mathbf{6.9\ \text{hours}}\ (\text{or roughly } \mathbf{7\ \text{h}})
\]

**Interpretation of \( V_d = 300\ \text{L} \):**  
This value is **~7–8× total body water** (~40–42 L in a 70 kg adult) and indicates **extensive tissue distribution**. It implies the drug is highly lipophilic or binds avidly to tissue proteins/phospholipids (e.g., in adipose, muscle, or organ parenchyma), such that only a small fraction of the total drug in the body remains in plasma at equilibrium. Consequently, plasma concentrations will be low relative to the total amount of drug present systemically."
qwen3-next:80b-cloud|OPT-PEP-02,Optimization Approaches,"Define a Pareto-optimal set for peptides optimized simultaneously for higher potency, higher serum stability, and lower hemolysis. What does it mean for one peptide to dominate another?","

A **Pareto-optimal set** for peptides optimized simultaneously for **higher potency** (lower IC₅₀/EC₅₀), **higher serum stability** (longer half-life in serum), and **lower hemolysis** (reduced % hemolysis at a standard concentration, e.g., 100 μM) consists of all peptides where **no single peptide is superior in all three objectives**. Specifically:  
- A peptide is Pareto-optimal if"
kimi-k2.5:cloud|GEN-PEP-10,Generative Design Strategies,You expand a peptide generator to include several non-natural amino acids. What must be updated in the model representation and in downstream scoring to keep generation physically and chemically coherent?," To incorporate non-natural amino acids (UAAs) into a peptide generative model while maintaining physical and chemical coherence, you must update both the **representation layer** and **scoring functions** as follows:

## 1. Model Representation Updates

**Vocabulary & Tokenization**
- Expand the token dictionary to include new 3-letter codes (e.g., ""NLE"" for norleucine, ""BPA"" for *p*-benzoyl-L-phenylalanine) or SMILES/SELFIES substructures
- Add stereochemistry flags (D- vs. L-configuration, R/S centers) to distinguish enantiomers

**Feature Embeddings**
- Initialize/train new embedding vectors for each UAA in the latent space
- Update atomic feature vectors to include new elements (e.g., fluorine in trifluoromethyl-phenylalanine) or hybridization states (sp³ carbons in β-amino acids)
- Extend graph neural network node features to account for novel side chain topologies (e.g., cyclic constraints in 1-aminocyclopentane-1-carboxylic acid)

**Geometric Priors**
- Update rotamer libraries (χ angle distributions)"
gemini-3-flash-preview:cloud|GEN-SM-05,Generative Design Strategies,"You condition a generator to maximize a QSAR-predicted property (e.g., potency) using classifier guidance. What is a common failure mode of this approach, and what is one practical way to detect it?","A common failure mode of using classifier guidance to maximize a QSAR-predicted property is **model exploitation** (also known as **reward hacking** or **adversarial vulnerability**).

### The Failure Mode: Model Exploitation
Because QSAR models are surrogates trained on a finite dataset, they have a limited **Applicability Domain (AD)**. When a generator is conditioned to maximize the model's output, it often identifies and exploits ""blind spots"" or artifacts in the model’s decision boundary. 

The generator produces molecules that are chemically nonsensical, synthetically inaccessible, or physically impossible, yet receive a high predicted score because they fall into regions of chemical space where the QSAR model’s extrapolation is inaccurate. For example, the model might incorrectly associate an excessive number of halogen atoms or specific rare functional groups with high potency because those features were over-represented in the active class of the training set.

### Practical Way to Detect It: Uncertainty Quantification (UQ)
One of the most effective ways to detect model exploitation is through **Uncertainty Quantification**, specifically using **Ensemble Methods** or **Monte Carlo (MC) Dropout**.

*   **How it works:** Instead of using a single QSAR model, you use an ensemble of $N$ models (e.g., 5–10 models trained with different seeds or data splits). 
*   **Detection Metric:** Calculate the **predictive variance** (disagreement) among the models in the ensemble for the generated molecules. 
*   **Interpretation:** If the generator produces a molecule with a high mean predicted score but also a **high variance** (e.g., a standard deviation $> 0.2$ for a normalized 0–1 classifier), it indicates the molecule is outside the training distribution. A high score accompanied by high uncertainty is a hallmark of model exploitation, suggesting the predicted potency is an artifact rather than a reliable biological signal.

**Alternative Detection:** You can also monitor"
kimi-k2.5:cloud|OPT-SM-04,Optimization Approaches,"In Bayesian optimization for molecules, what does Expected Improvement (EI) favor, and why is predictive uncertainty required for principled exploration?"," In Bayesian optimization (BO) for molecules, **Expected Improvement (EI) favors candidates with either high predicted property values (exploitation) or high predictive uncertainty (exploration)**, optimally balancing both via the acquisition function:

$$\text{EI}(x) = (\mu(x) - f^*)\Phi(Z) + \sigma(x)\phi(Z)$$

where $\mu(x)$ is the predicted mean, $\sigma(x)$ is the predictive standard deviation, $f^*$ is the current best observed value, $Z = (\mu(x) - f^*)/\sigma(x)$, and $\Phi/\phi$ are the standard normal CDF/PDF.

**Why predictive uncertainty is required for principled exploration:**

1. **Automatic exploration-exploitation trade-off**: Without $\sigma(x)$, the optimizer would greedily select molecules with highest predicted activity, ignoring whether those predictions are reliable. Uncertainty explicitly quantifies doubt, forcing exploration of chemical subspaces (e.g., novel scaffolds, unusual functional groups) where the surrogate model (often a Gaussian Process or neural network) lacks training data.

2. **Avoiding spurious exploitation**: In vast chemical spaces ($\sim10^{60}$ drug-like molecules), machine learning models confidently mispredict properties for out-of-distribution structures. Predictive uncertainty prevents the"
kimi-k2.5:cloud|ASSAY-SM-01,Assay Interpretation,Define IC50 in a biochemical inhibition assay and state one key assay-condition factor that can shift the measured IC50 without changing true binding affinity.," **IC50** (half-maximal inhibitory concentration) is the concentration of an inhibitor that reduces the activity of a target enzyme (or receptor) by 50% under specific experimental conditions. It is an operational measure of apparent potency, distinct from the intrinsic binding affinity (Ki).

**Key assay-condition factor:** **Substrate concentration ([S])**.

For competitive inhibitors, the relationship is described by the Cheng-Prusoff equation:  
**IC50 = Ki × (1 + [S]/Km)**

Increasing the substrate concentration increases the measured IC50 (making the inhibitor appear weaker), whereas decreasing [S] lowers the IC50 (making it appear more potent), even though the true dissociation constant (Ki) remains unchanged."
deepseek-v3.2:cloud|GEN-SM-07,Generative Design Strategies,Give three commonly used synthesizability/developability filters applied to generated small molecules and provide a typical numeric threshold for at least one of them.,"Three commonly used synthesizability/developability filters for generated small molecules are:

1. **Lipinski's Rule of Five**: A developability filter for oral bioavailability, with typical thresholds: molecular weight <500 Da, calculated logP (cLogP) <5, hydrogen bond donors <5, and hydrogen bond acceptors <10.
2. **Synthetic Accessibility (SA) Score**: A synthesizability metric often calculated using fragment-based methods, where a score <6 (on a scale of 1 to 10, with lower scores indicating easier synthesis) is commonly used as a threshold for prioritization.
3. **PAINS (Pan-Assay Interference Compounds) Filters**: A set of structural alerts that identify compounds prone to assay interference, applied as a binary filter without a numeric threshold.

For example, in the Rule of Five, a molecular weight threshold of <500 Da is a typical numeric criterion."
deepseek-v3.2:cloud|GEN-PEP-03,Generative Design Strategies,"A peptide binder design strategy fixes a short epitope (e.g., 4 residues) and generates sequences by varying flanking positions. Why can this improve success rates, and what constraint is commonly applied to keep candidates developable?","Fixing a short epitope (e.g., 4 residues) improves success rates by anchoring the peptide to the key binding site on the target, ensuring initial binding affinity while allowing optimization of flanking residues for enhanced specificity, solubility, and stability. This reduces the vast sequence search space, focusing design on variants likely to retain core interactions.

The common constraint applied to keep candidates developable is **avoiding cysteine residues** (or limiting them) to prevent unwanted disulfide-mediated aggregation, oxidation, and structural complications, thereby improving solubility, stability, and manufacturability. Other constraints may include minimizing methionine (oxidation-prone) or optimizing net charge for solubility."
deepseek-v3.2:cloud|OPT-PEP-10,Optimization Approaches,"You have four peptides with (EC50 nM, serum half-life h, hemolysis HC50 µg/mL): A(10, 0.2, 50), B(30, 8, 40), C(15, 2, 200), D(50, 20, 20). Objectives: minimize EC50, maximize half-life, maximize HC50. Which peptides are Pareto-optimal?","The Pareto-optimal peptides are those for which no other peptide is strictly better in all three objectives simultaneously.  

Let’s compare:  

**Objectives:**  
- Minimize EC50 (lower is better)  
- Maximize half-life (higher is better)  
- Maximize HC50 (higher is better)  

**Data:**  
A: EC50 = 10, half-life = 0.2, HC50 = 50  
B: EC50 = 30, half-life = 8, HC50 = 40  
C: EC50 = 15, half-life = 2, HC50 = 200  
D: EC50 = 50, half-life = 20, HC50 = 20  

---

**Step 1 – Compare A:**  
- vs B: A has better EC50 (10 vs 30) and better HC50 (50 vs 40), but worse half-life (0.2 vs 8) → not dominated by B.  
- vs C: A has better EC50 (10 vs 15), but worse half-life (0.2 vs 2) and worse HC50 (50 vs 200) → not dominated by C.  
- vs D: A has better EC50 (10 vs 50) and better HC50 (50 vs 20), but worse half-life (0.2 vs 20) → not dominated by D.  
No peptide beats A in all three objectives, so **A is Pareto-optimal**.

---

**Step 2 – Compare B:**  
- vs A: B worse in EC50 and HC50, better in half-life → not dominated by A.  
- vs C: B worse in EC50 (30 vs 15) and worse in HC50 (40 vs 200), better in half-life (8 vs 2) → not dominated by C.  
- vs D: B better in EC50 (30 vs 50) and better in HC50 (40 vs 20), worse in half-life (8 vs 20) → not dominated by D.  
No peptide beats B in all three objectives, so **B is Pareto-optimal**.

---

**Step 3 – Compare C:**  
- vs A: C worse in EC50 (15 vs 10), better in half-life and HC50 → not dominated by A.  
- vs B: C better in EC50 (15 vs 30) and HC50 (200 vs 40), worse in half-life (2 vs 8) → not dominated by B.  
- vs D: C better in EC50 (15 vs 50) and HC50 (200 vs 20), worse in half-life (2 vs 20) → not dominated by D.  
No peptide beats C in all three objectives, so **C is Pareto-optimal**.

---

**Step 4 – Compare D:**  
- vs A: D worse in EC50 and HC50, better in half-life → not dominated by A.  
- vs B: D worse in EC50 and HC50, better in half-life → not dominated by B.  
- vs C: D worse in EC50 and HC50, better in half-life → not dominated by C.  
But check: Is there any peptide that dominates D?  
A: better EC50 (10 vs 50), better HC50 (50 vs 20), worse half-life (0.2 vs 20) → no domination.  
B: better EC50 (30 vs 50), better HC50 (40 vs 20), worse half-life (8 vs 20) → no domination.  
C: better EC50 (15 vs 50), better HC50 (200 vs 20), worse half-life (2 vs 20) → no domination.  
So **D is Pareto-optimal** as well.

---

Wait — this suggests all four are Pareto-optimal. But let’s check carefully:  

**Look for domination:**  
- A vs D: A better in EC50 and HC50, worse in half-life → no domination either way.  
- B vs D: B better in EC50 and HC50, worse in half-life → no domination.  
- C vs D: C better in EC50 and HC50, worse in half-life → no domination.  

Indeed, because half-life varies widely and no peptide is best in all three, each peptide is best in at least one objective:  
A best in EC50 (lowest 10).  
D best in half-life (highest 20).  
C best in HC50 (highest 200).  
B is not best in any single objective, but it is second-best in half-life (8) and intermediate in others, so it’s not dominated:  
Check if B is dominated by C: C better EC50 (15 vs 30) and HC50 (200 vs 40), but worse half-life (2 vs 8)"
kimi-k2.5:cloud|SAR-PEP-04,SAR Reasoning,"A peptide binds its target as an α-helix, and residue i is buried in a helix-dependent interface. What is the most likely effect on activity of substituting that residue from an L-amino acid to the corresponding D-amino acid, and why?"," **Most likely effect: Complete loss of binding/activity**

**Why:**

1. **Helix handedness mismatch**: D-amino acids induce **left-handed helices** (or destabilize right-handed α-helices), while L-amino acids form **right-handed α-helices**. A single D-residue creates a **helix kink or termination**—typically reducing helicity by **2–4 residues** on either side.

2. **Side chain orientation reversal**: In an α-helix, side chains project outward at ~100° intervals. A D-residue at position *i* flips the side chain **~180°** relative to the backbone, pointing the functional group into **opposite steric space**—directly away from the interface it must engage.

3. **Burial penalty**: Since residue *i* is **buried in a helix-dependent interface**, its precise side chain geometry is critical. The D-substitution typically causes **>100-fold** (often **>1000-fold**) affinity loss in protein-protein interaction peptides (e.g., BH3 peptides, coiled-coil inhibitors).

**Quantitative context**: In studies of p53/MDM2 inhibitors and Bcl-2 family helical peptides, single D-substitutions in buried positions routinely reduce IC₅₀ from **nM to >10 µM** or abolish detectable binding entirely.

**Exception**: If the D-residue stabilizes an alternative bioactive conformation (rare) or if the interface tolerates side chain flipping (uncommon for buried positions), partial activity might remain—but this is not the most likely outcome."
kimi-k2.5:cloud|OPT-PEP-04,Optimization Approaches,"How can Bayesian optimization be applied to peptide sequences using embeddings, and what does EI do in that setting?"," Bayesian optimization (BO) can be applied to peptide sequences by mapping discrete sequences into a continuous **embedding space** where standard BO operates, then using acquisition functions like Expected Improvement (EI) to guide the search. Here is the specific workflow and role of EI:

## 1. Embedding Peptides for BO
Since peptides are discrete (sequences of 20 amino acids) and often variable-length, they are first encoded into fixed-dimensional continuous vectors (embeddings, **z** ∈ ℝᵈ, typically **d = 64–1024**):

- **Learned embeddings**: Variational autoencoders (VAEs) or protein language models (e.g., ESM-2, ProtBERT) trained on sequence databases map peptides to latent vectors that capture physicochemical and structural properties.
- **Hand-crafted embeddings**: Physicochemical descriptors (hydrophobicity, charge, molecular weight) concatenated into feature vectors.

The BO surrogate model—typically a **Gaussian Process (GP)**—is then trained on the dataset **D = {(zᵢ, yᵢ)}**, where **zᵢ** is the embedding of peptide **i** and **yᵢ** is the experimental property (e.g., binding affinity, IC₅₀, stability).

## 2. Optimization"
